ccode,year,gender,age_group,edu_ilo,neet_fc
TUN,2023,Female,25-54,Upper Secondary,0.7700743248193883
TUN,2024,Female,25-54,Upper Secondary,0.4521541550892272
TUN,2025,Female,25-54,Upper Secondary,0.4521541550892272
TZA,2015,Female,25-54,Lower Secondary,0.458500965996392
TZA,2016,Female,25-54,Lower Secondary,0.4904008124353615
TZA,2017,Female,25-54,Lower Secondary,0.5125007799329423
TZA,2018,Female,25-54,Lower Secondary,0.444527538954527
TZA,2019,Female,25-54,Lower Secondary,0.4728889197050437
TZA,2020,Female,25-54,Lower Secondary,0.3168216214365507
TZA,2021,Female,25-54,Lower Secondary,0.5124576882594482
TZA,2022,Female,25-54,Lower Secondary,0.4638629937893832
TZA,2023,Female,25-54,Lower Secondary,0.4743589782915483
TZA,2024,Female,25-54,Lower Secondary,0.3487470737358587
TZA,2025,Female,25-54,Lower Secondary,0.3487470737358587
TZA,2015,Female,25-54,No Education,0.578238783889513
TZA,2016,Female,25-54,No Education,0.4028475311392846
TZA,2017,Female,25-54,No Education,0.448810055004596
TZA,2018,Female,25-54,No Education,0.4445463606955517
TZA,2019,Female,25-54,No Education,0.3698837167391216
TZA,2020,Female,25-54,No Education,0.1178776010730056
TZA,2021,Female,25-54,No Education,0.4422369926086282
TZA,2022,Female,25-54,No Education,0.4451064483165916
TZA,2023,Female,25-54,No Education,0.6727754058247118
TZA,2024,Female,25-54,No Education,0.235117310460319
TZA,2025,Female,25-54,No Education,0.235117310460319
TZA,2015,Female,25-54,Primary,0.264336968428214
TZA,2016,Female,25-54,Primary,0.2852697278971973
TZA,2017,Female,25-54,Primary,0.3034938939796265
TZA,2018,Female,25-54,Primary,0.2656223898696537
TZA,2019,Female,25-54,Primary,0.2698167131105854
TZA,2020,Female,25-54,Primary,0.1856905516379898
TZA,2021,Female,25-54,Primary,0.3015658474239098
TZA,2022,Female,25-54,Primary,0.3122262197335674
TZA,2023,Female,25-54,Primary,0.3410515962599524
TZA,2024,Female,25-54,Primary,0.2575695856640501
TZA,2025,Female,25-54,Primary,0.2575695856640501
TZA,2015,Female,25-54,Tertiary,0.3704126890672178
TZA,2016,Female,25-54,Tertiary,0.3734148902204993
TZA,2017,Female,25-54,Tertiary,0.3990176879940634
TZA,2018,Female,25-54,Tertiary,0.3349552610614357
TZA,2019,Female,25-54,Tertiary,0.3922929895680637
TZA,2020,Female,25-54,Tertiary,0.4708384748312674
TZA,2021,Female,25-54,Tertiary,0.4819005585438307
TZA,2022,Female,25-54,Tertiary,0.2919160626359385
TZA,2023,Female,25-54,Tertiary,0.4036483365462129
TZA,2024,Female,25-54,Tertiary,0.5392474181815083
TZA,2025,Female,25-54,Tertiary,0.5392474181815083
TZA,2015,Female,25-54,Upper Secondary,0.4537338489719972
TZA,2016,Female,25-54,Upper Secondary,0.4368997695171421
TZA,2017,Female,25-54,Upper Secondary,0.3056305316608523
TZA,2018,Female,25-54,Upper Secondary,0.3204729805276983
TZA,2019,Female,25-54,Upper Secondary,0.3440371639063097
TZA,2020,Female,25-54,Upper Secondary,0.4634787347002563
TZA,2021,Female,25-54,Upper Secondary,0.4332738185082377
TZA,2022,Female,25-54,Upper Secondary,0.4171228952464574
TZA,2023,Female,25-54,Upper Secondary,0.4823695675428926
TZA,2024,Female,25-54,Upper Secondary,0.4541633394518484
TZA,2025,Female,25-54,Upper Secondary,0.4541633394518484
UGA,2015,Female,25-54,Lower Secondary,0.458500965996392
UGA,2016,Female,25-54,Lower Secondary,0.4904008124353615
UGA,2017,Female,25-54,Lower Secondary,0.3598694964561219
UGA,2018,Female,25-54,Lower Secondary,0.444527538954527
UGA,2019,Female,25-54,Lower Secondary,0.2403930388533239
UGA,2020,Female,25-54,Lower Secondary,0.5197915630078025
UGA,2021,Female,25-54,Lower Secondary,0.3163870805027019
UGA,2022,Female,25-54,Lower Secondary,0.4638629937893832
UGA,2023,Female,25-54,Lower Secondary,0.4743589782915483
UGA,2024,Female,25-54,Lower Secondary,0.3550393285298603
UGA,2025,Female,25-54,Lower Secondary,0.3550393285298603
UGA,2015,Female,25-54,No Education,0.578238783889513
UGA,2016,Female,25-54,No Education,0.4028475311392846
UGA,2017,Female,25-54,No Education,0.3068607146882782
UGA,2018,Female,25-54,No Education,0.4445463606955517
UGA,2019,Female,25-54,No Education,0.1067428912566553
UGA,2020,Female,25-54,No Education,0.3814223483801803
